building_key,building_name,building_category_key,baseline_wage,baseline_build_time_hours,baseline_robots,max_level,baseline_reference_value,recession_output_multiplier,boom_output_multiplier
1,Academy,18,0,8,,,65550,1.0,1.0
2,Aerospace Electronics,8,725,6,38,,141450,1.1497,0.8722
3,Aerospace Factory,8,587,6,30,,106950,1.1574,0.8719
4,Automotive R&D,18,552,6,,,138000,1.0,1.0
5,Bakery,2,449,5,22,,37950,1.0902,0.9222
6,Bank,19,0,8,,,138000,1.0,1.0
7,Beach Market,21,241,2,,,10350,1.0,1.0
8,Beverage Factory,2,241,2,9,,13800,1.0476,0.9573
9,Breeding Laboratory,18,414,5,,,96600,1.0,1.0
10,Car Dealership,14,380,3,,,20700,1.0,1.0
11,Car Factory,7,449,6,22,,93150,1.0902,0.9222
12,Castle,19,0,12,,3,138000,1.0,1.0
13,Catering,2,656,4,34,,103500,1.1346,0.8884
14,Chemistry Laboratory,18,414,5,,,96600,1.0,1.0
15,Concrete Plant,3,380,5,17,,58650,1.0758,0.9338
16,Construction Factory,3,483,6,24,,72450,1.0975,0.9165
17,Electronics Factory,6,380,5,17,,82800,1.0758,0.9338
18,Electronics Store,11,173,1,,,17250,1.0,1.0
19,Factory,9,414,3,20,,48300,1.0830,0.9280
20,Farm,1,104,1,1,,6900,1.0201,0.9815
21,Fashion & Design,18,449,2,,,72450,1.0,1.0
22,Fashion Factory,4,138,2,3,,13800,1.0269,0.9754
23,Fashion Store,13,311,3,,,17250,1.0,1.0
24,Food Processing Plant,2,380,6,17,,86250,1.0758,0.9338
25,Forest Nursery,1,79,2,1,,17250,1.0154,0.9858
26,Gas Station,15,345,1,,,24150,1.0,1.0
27,General Contractor,3,345,2,15,,48300,1.0671,0.9396
28,Grocery Store,10,138,1,,,10350,1.0,1.0
29,Halloween Market,21,207,2,,,13800,1.0,1.0
30,Hangar,8,759,3,40,,100050,1.1196,0.8995
31,Hardware Store,12,173,1,,,13800,1.0,1.0
32,Kitchen,18,518,4,,,82800,1.0,1.0
33,Lake,21,0,12,,3,138000,1.0,1.0
34,Launch Pad,18,518,9,,,124200,1.0,1.0
35,Mill,1,380,3,17,,27600,1.0758,0.9338
36,Mine,9,276,4,11,,24150,1.0546,0.9514
37,Oil Rig,9,518,4,26,,69000,1.1048,0.9108
38,Park,21,0,12,,3,138000,1.0,1.0
39,Physics Laboratory,18,587,7,,,165600,1.0,1.0
40,Plant Research Center,18,449,5,,,103500,1.0,1.0
41,Power Plant,5,414,3,20,,51750,1.0830,0.9280
42,Propulsion Factory,8,621,7,32,,103500,1.1270,0.8939
43,Quarry,9,276,3,11,,24150,1.0546,0.9514
44,Ranch,1,138,2,3,,10350,1.0269,0.9754
45,Refinery,5,483,4,24,,69000,1.0975,0.9165
46,Restaurant,16,587,3,,,89700,1.0,1.0
47,Sales Office,17,587,2,,,62100,1.0,1.0
48,Shipping Depot,9,311,3,13,,51750,1.0616,0.9455
49,Slaughterhouse,2,414,4,20,,20700,1.0830,0.9280
50,Software R&D,18,587,3,,,65550,1.0,1.0
51,Spring Market,21,241,1,,,6900,1.0,1.0
52,Vertical Integration Facility,8,759,3,40,,113850,1.1574,0.8719
53,Water Reservoir,9,345,2,15,,20700,1.0867,0.9396
54,XMAS Market,21,241,2,,,17250,1.0,1.0
