Building Key,Product Key,Baseline Quantity
1,15,1045
1,110,76
1,34,304
1,99,19
2,15,2255
2,110,164
2,34,656
2,99,41
3,15,1705
3,110,124
3,34,496
3,99,31
4,15,2200
4,110,160
4,34,640
4,99,40
5,15,605
5,110,44
5,34,176
5,99,11
6,15,2200
6,110,160
6,34,640
6,99,40
7,15,165
7,110,12
7,34,48
7,99,3
8,15,220
8,110,16
8,34,64
8,99,4
9,15,1540
9,110,112
9,34,448
9,99,28
10,15,330
10,110,24
10,34,96
10,99,6
11,15,1485
11,110,108
11,34,432
11,99,27
12,15,2200
12,110,160
12,34,640
12,99,40
13,15,1650
13,110,120
13,34,480
13,99,30
14,15,1540
14,110,112
14,34,448
14,99,28
15,15,935
15,110,68
15,34,272
15,99,17
16,15,1155
16,110,84
16,34,336
16,99,21
17,15,1320
17,110,96
17,34,384
17,99,24
18,15,275
18,110,20
18,34,80
18,99,5
19,15,770
19,110,56
19,34,224
19,99,14
20,15,110
20,110,8
20,34,32
20,99,2
21,15,1155
21,110,84
21,34,336
21,99,21
22,15,220
22,110,16
22,34,64
22,99,4
23,15,275
23,110,20
23,34,80
23,99,5
24,15,1375
24,110,100
24,34,400
24,99,25
25,15,275
25,110,20
25,34,80
25,99,5
26,15,385
26,110,28
26,34,112
26,99,7
27,15,770
27,110,56
27,34,224
27,99,14
28,15,165
28,110,12
28,34,48
28,99,3
29,15,220
29,110,16
29,34,64
29,99,4
30,15,1595
30,110,116
30,34,464
30,99,29
31,15,220
31,110,16
31,34,64
31,99,4
32,15,1320
32,110,384
32,34,96
32,99,24
33,15,2200
33,110,160
33,34,640
33,99,40
34,15,1980
34,110,114
34,34,576
34,99,36
35,15,440
35,110,32
35,34,128
35,99,8
36,15,385
36,110,28
36,34,112
36,99,7
37,15,1100
37,110,80
37,34,320
37,99,20
38,15,2200
38,110,160
38,34,640
38,99,40
39,15,2640
39,110,192
39,34,768
39,99,48
40,15,1650
40,110,120
40,34,480
40,99,30
41,15,825
41,110,60
41,34,240
41,99,15
42,15,1650
42,110,120
42,34,480
42,99,30
43,15,385
43,110,28
43,34,112
43,99,7
44,15,165
44,110,12
44,34,48
44,99,3
45,15,1100
45,110,80
45,34,320
45,99,20
46,15,1430
46,110,104
46,34,416
46,99,26
47,15,990
47,110,72
47,34,288
47,99,18
48,15,825
48,110,60
48,34,240
48,99,15
49,15,330
49,110,24
49,34,96
49,99,6
50,15,1045
50,110,76
50,34,304
50,99,19
51,15,110
51,110,8
51,34,32
51,99,2
52,15,1815
52,110,132
52,34,528
52,99,33
53,15,330
53,110,24
53,34,96
53,99,6
54,15,275
54,110,20
54,34,80
54,99,5
