product_key,input_product_key,input_quantity
1,133,1
1,12,1
2,102,15
2,11,1
3,6,8
4,6,4
4,87,2
4,134,0.5
5,6,2
5,134,2
5,41,1
6,120,1
6,145,3
7,10,5
7,129,3
7,47,3
9,101,2
9,40,2
9,52,5
10,23,4
11,102,14
11,145,0.5
12,95,1
12,127,1
13,41,1
15,27,0.5
16,129,4
16,18,1
16,33,2
17,87,0.5
18,2,30
18,129,5
18,60,5
19,20,8
20,102,0.5
20,38,0.1
21,78,3
22,87,1
23,102,0.2
23,88,1
25,87,0.5
25,134,1
25,30,10
26,87,2
26,134,0.5
26,25,0.0625
27,102,1
28,40,8
28,9,1
28,69,4
29,32,8
29,93,1
29,3,1
29,59,2
30,120,1
30,145,1
31,120,1
31,145,0.5
32,31,10
33,23,5
33,48,5
33,129,6
34,39,5
34,130,8
34,146,4
34,138,4
34,16,0.125
35,120,1
35,145,1
36,145,16
36,56,12
37,17,0.5
37,134,0.75
37,25,0.1
38,102,25
39,102,15
39,38,0.75
39,51,0.25
40,121,5
40,23,4
41,46,1
41,55,2
41,17,0.5
42,101,0.5
42,52,3
43,2,0.0625
43,87,0.25
43,134,0.25
43,30,8
44,92,1
44,9,1
44,18,1
44,33,1
45,10,15
45,92,1
45,47,2
45,9,1
46,145,0.4
46,64,0.5
47,48,3
47,129,2
48,121,3
48,23,1
51,102,20
51,135,10
52,102,1
52,35,2
54,92,2
54,69,4
55,64,15
56,64,10
56,144,0.5
57,119,1
57,144,2
57,22,1
57,41,2
58,19,40
59,145,1
59,144,3
59,134,1
60,102,2
60,121,1
61,52,0.5
61,77,0.5
62,102,80
62,145,2
63,102,40
63,62,200
64,120,1
64,145,0.5
65,120,1
65,145,4
66,128,4
66,144,3
66,13,0.5
66,17,1
66,143,0.5
67,77,1.5
68,121,30
68,129,20
69,121,4
69,23,3
69,63,0.0625
70,23,15
70,10,30
70,69,8
71,102,7
71,145,0.5
72,48,0.5
72,105,1
73,2,5
73,69,4
74,9,140
74,58,40
74,147,10
74,28,2
74,73,4
75,101,3
75,103,4
75,48,3
75,10,2
75,40,2
76,128,1
76,22,0.5
76,96,1
76,118,1
77,36,0.125
78,102,2
79,92,2
79,80,1
79,18,1
79,33,2
80,2,2
80,40,6
80,77,5
81,10,30
81,92,2
81,47,4
81,80,1
81,18,1
82,63,2
82,58,14
82,147,2
82,28,1
82,73,2
83,48,2
83,60,0.5
83,63,0.1
85,119,2
85,13,1
85,118,1
85,143,0.5
86,102,20
87,145,2
87,56,0.5
88,102,20
88,145,1
90,101,3
90,48,2
90,40,3
91,63,0.25
92,103,2
92,48,3
93,94,5
93,134,1
94,120,1
94,145,3
95,58,40
95,104,16
95,112,34
96,46,2
96,55,2
97,102,15
97,38,0.75
97,51,0.25
98,145,4
98,56,4
99,149,0.5
101,102,5
101,38,0.2
103,121,4
103,23,1
104,2,50
104,113,250
105,120,2
105,145,8
106,13,0.5
106,17,2
106,105,10
107,101,2
107,48,3
107,10,1
107,92,1
108,87,0.5
108,55,2
108,17,1
108,134,0.25
110,145,20
110,129,5
110,116,20
110,21,15
111,101,10
111,103,2
111,47,1
112,2,10
112,129,20
112,69,8
113,102,5
113,86,1
114,144,5
114,22,2
114,143,0.5
115,144,5
115,55,4
115,143,1
116,102,2
117,69,8
117,54,4
117,7,2
117,70,1
118,145,0.5
118,144,2
118,17,0.5
119,98,0.0625
120,145,0.1
121,102,3
121,116,2
122,33,1
122,58,8
122,147,2
122,28,1
123,2,2
123,103,2
123,48,1
123,10,1
123,40,1
124,101,1
126,23,50
126,2,30
126,113,100
127,28,2
127,7,4
127,104,6
127,112,7
127,68,10
128,36,0.125
129,102,5
129,23,0.1
129,71,1
130,102,4
130,129,1
131,101,0.2
131,77,1
132,58,8
132,54,2
132,7,2
132,104,2
132,70,4
133,126,1
133,132,1
134,102,0.5
134,135,1
135,120,1
135,145,3
136,2,3
136,103,2
136,48,1
136,10,1
136,40,2
137,99,5
137,103,1
137,48,4
137,40,4
138,99,0.5
138,129,0.5
138,10,1
138,48,1
139,102,0.010526316
139,39,0.005263158
140,145,1
141,129,10
141,92,1
141,9,1
141,18,1
141,33,6
142,52,1
143,102,1
143,144,10
144,120,5
144,145,2
145,102,0.2
146,2,2
146,60,1
146,19,30
147,2,5
148,101,1
148,52,4
149,145,4
149,120,1
150,23,0.5
150,101,0.1
151,88,0.25
151,2,0.125
151,60,0.5
