Realm Key,Product Key,Quality Level,Unit Price,Baseline Retail Units
1,3,0,52.07,9.74
2,3,0,50.93,9.41
1,4,0,345.40,3.68
2,5,0,353.67,3.62
1,6,0,5.48,77.94
2,6,0,5.58,78.61
1,22,0,158.18,10.35
2,22,0,147.78,9.96
1,25,0,289.56,4.84
2,25,0,295.47,4.74
1,32,0,39.74,33.11
2,32,0,39.60,32.60
1,46,0,2.49,198.42
2,46,0,2.33,206.68
1,57,0,547.47,2.95
2,57,0,531.14,3.06
1,59,0,93.60,5.82
2,59,0,88.00,6.10
1,65,0,7.66,48.10
2,65,0,8.18,46.75
1,93,0,62.52,8.67
2,93,0,59.78,8.01
1,94,0,6.50,62.97
2,94,0,6.31,67.87
1,108,0,265.19,8.83
2,108,0,252.02,8.51
1,119,0,15.94,50.16
2,119,0,15.91,49.82
1,128,0,53.79,15.54
2,128,0,52.71,15.92
